Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.49     0.00   698625     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::size() const
  0.00      1.49     0.00   637875     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::array<int, 2ul> > >::destroy<std::array<int, 2ul> >(std::array<int, 2ul>*)
  0.00      1.49     0.00   637875     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::array<int, 2ul> > >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::array<int, 2ul>*, std::array<int, 2ul>&&)
  0.00      1.49     0.00   637875     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::array<int, 2ul> > >::_M_max_size() const
  0.00      1.49     0.00   637875     0.00     0.00  std::set<std::array<int, 2ul>, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::size() const
  0.00      1.49     0.00   637875     0.00     0.00  std::_Rb_tree_node<std::array<int, 2ul> >* std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_Alloc_node::operator()<std::array<int, 2ul> >(std::array<int, 2ul>&&) const
  0.00      1.49     0.00   637875     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > >&, std::_Rb_tree_node<std::array<int, 2ul> >*, unsigned long)
  0.00      1.49     0.00   637875     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > > >::destroy<std::array<int, 2ul> >(std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > >&, std::array<int, 2ul>*)
  0.00      1.49     0.00   637875     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > > >::allocate(std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > >&, unsigned long)
  0.00      1.49     0.00   637875     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > > >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::allocator<std::_Rb_tree_node<std::array<int, 2ul> > >&, std::array<int, 2ul>*, std::array<int, 2ul>&&)
